name,InDegree,OutDegree,Closeness_total,Betweenness,Eigen,Diffusion.degree,Coreness,Cross_clique_connectivity
126,0,3,0.000979431929480901,0,0.0306502162128629,619,3,4
127,0,2,0.000979431929480901,0,0.0157452651746932,618,2,4
128,10,14,0.00102669404517454,411.804377832297,0.0513999888275887,994,14,51
129,6,8,0.001,108.498327653425,0.0517922909963487,733,10,20
130,0,1,0.000736377025036819,0,0.000840314136523463,36,1,2
131,1,4,0.000985221674876847,2.8975473085305,0.0333357647229935,672,5,8
132,4,2,0.000794912559618442,87.1025411898685,0.00826751824952699,164,5,8
133,2,7,0.000997008973080758,7.72724288593854,0.0447899908521567,731,7,10
134,0,2,0.000972762645914397,52.1522217231026,0.0150281779928861,589,2,3
135,0,2,0.000702247191011236,3.88035378068073,0.000579670269254541,17,2,3
136,12,13,0.00104493207941484,458.4896245674,0.0875081310663849,1238,16,64
137,22,8,0.00107181136120043,978.121092871776,0.105688968931338,1580,17,173
138,3,6,0.00102669404517454,54.8776845407985,0.0521602723996453,1004,8,18
139,0,4,0.000979431929480901,11.2712265074449,0.0178767452428669,641,4,7
140,0,3,0.0007097232079489,0.25,0.00155989881444134,48,3,6
141,2,3,0.000980392156862745,171.244861225953,0.0315235328098771,640,4,10
142,5,9,0.00104058272632674,170.208717479372,0.0685809620516528,1201,11,40
143,0,6,0.000986193293885602,0.349542124542124,0.0489224233004423,676,6,12
144,9,12,0.00100806451612903,92.4113176272663,0.0507191235998666,966,17,38
145,1,1,0.000733675715333823,10.2456309843767,0.00093323289557158,28,2,3
146,1,2,0.00101626016260163,24.3588244942566,0.0255955945529225,923,3,6
147,1,12,0.00103842159916926,377.328411615855,0.0390849359679408,1169,9,32
148,0,8,0.000862068965517241,13.7625434018194,0.0188352534307883,478,8,20
149,0,1,0.00068259385665529,0,0.000444527299527566,5,1,2
150,2,2,0.000975609756097561,490.349755003203,0.0298241368515191,588,2,4
151,1,1,0.000694444444444445,20.3881740879183,0.000510509395542606,11,2,3
152,3,2,0.000986193293885602,141.177259418123,0.0199401458307116,682,4,11
153,3,0,0.000723589001447178,1.74885017074909,0.00230262121177529,36,3,4
154,4,6,0.00102986611740474,312.686955759904,0.0620743600586189,1048,8,25
155,9,9,0.0010482180293501,587.681450602381,0.0724724968440943,1302,12,73
156,1,2,0.000778210116731518,6.92623176165799,0.00669620981875467,133,3,5
157,3,8,0.00103199174406605,80.5753814901058,0.0719291534902095,1053,9,25
158,8,7,0.00100200400801603,80.8673604279138,0.0833330069233703,741,10,16
159,1,4,0.000848176420695505,27.195541866005,0.0140727592957085,398,4,9
160,0,3,0.000975609756097561,298.210333777381,0.0161681094857434,601,2,5
161,6,12,0.00102354145342886,171.382184626629,0.050832934546315,978,14,42
162,4,3,0.00102145045965271,34.7075479883585,0.0437987802908982,992,7,14
163,2,10,0.00103734439834025,247.629652840071,0.0619569322441123,1218,11,42
164,0,1,0.000710227272727273,0,0.000885868016673719,15,1,2
165,3,5,0.00100806451612903,202.941790608098,0.0290158122893448,854,6,26
166,0,6,0.00102249488752556,105.252475530811,0.0373375423975393,951,6,13
167,11,3,0.00100300902708124,1885.63988097256,0.056060783760892,873,7,55
168,0,2,0.0007097232079489,0,0.00169038051808393,53,2,4
169,0,5,0.000979431929480901,0,0.0323550798753898,637,5,8
170,2,7,0.000988142292490119,40.0301424033361,0.0348557848969473,670,7,16
171,1,6,0.00098135426889107,440,0.0472705324199595,640,6,9
172,2,6,0.000992063492063492,30.5377975563622,0.0523325237431384,721,7,12
173,3,6,0.00099502487562189,232.568895391301,0.0212902804300796,704,6,23
174,1,1,0.000717875089734386,0.333333333333333,0.000804169797699498,16,2,3
